intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
5928000,0.013840701187479862,0.890892696122633,0.013840701187479862,0.015965188373829587,8.922908232118758,5.0,60.90113302909681,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCA_008571615.1 Bacteroides faecis strain=BIOML-A6, ASM857161v1",19ba6ecd3a694df15f935ef9d9473497,0.890892696122633,5928000,0,331901000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8710385130935911,0.9962801201653284,0.9336593166294598,0.9962801201653284,False,52895,52895,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis
5630000,0.01314493044627389,0.8299037749814951,0.013088895218794215,0.00639482835951087,3.779343560470924,3.0,13.470571828407477,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCF_015553205.1 Bacteroides cellulosilyticus strain=1001283B150304_161114_B8, ASM1555320v1",fd99dae900145253c1aa9288c9a8f67e,0.8334566987416728,5606000,1,326295000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8695904940994009,0.994140667776845,0.9318655809381229,0.994140667776845,False,21187,74082,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus
5366000,0.01252854294399746,0.7151098901098901,0.012154974760799622,0.006472096309670627,4.11890126776796,3.0,15.627515702913383,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCA_024789165.1 Bacteroides ovatus strain=BFG-466, ASM2478916v1",8d2b89c4e20640ca59dbafc70bde9ce2,0.7370879120879121,5206000,2,321089000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8682443257489512,0.990207995338106,0.9292261605435286,0.990207995338106,False,21443,95525,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus
4633000,0.010817133704722369,0.8558112992200875,0.01050427035129418,0.08520149730799668,62.743943098466325,61.0,44.851613843660594,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCF_013361175.1 Bacteroides vulgatus strain=H23, ASM1336117v1",eb6bd117f97cfa68df9a0bd374d019d1,0.8813011223131063,4499000,3,316590000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8641403101565276,0.9959322983310409,0.9300363042437843,0.9959322983310409,False,282285,377810,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
4621000,0.01078911609098253,0.8127369219105383,0.010011627309702033,0.01074899808218533,8.30527052238806,6.0,13.263065587893243,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCF_018291785.1 Bacteroides uniformis strain=CL06T03C05, ASM1829178v1",94290db9715a9c6fca358ac639119d83,0.8758529188779378,4288000,4,312302000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8640680187966989,0.9957330936436304,0.9299005562201647,0.9957330936436304,False,35613,413423,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
4518000,0.010548631573048924,0.8814673452078032,0.009705768359708804,0.013393312579644845,10.67452489776281,8.0,14.550259070384866,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCF_021411685.1 Parabacteroides merdae strain=BJH_172, ASM2141168v1",7d8681cb5a89427772cd391321da5cc3,0.9580152671755725,4157000,5,308145000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8634399383400173,0.9986173578725961,0.9310286481063067,0.9986173578725961,False,44374,457797,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae
4100000,0.009572684694444574,0.7455565949485501,0.00930418256277113,0.004961447518461305,4.1249686323713926,3.0,19.172123777591963,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCF_015558175.1 Parabacteroides distasonis strain=BSD2780120874_150323_E11, ASM1555817v1",5e34343c4baf679d88ed03d3447b7635,0.7670720299345183,3985000,6,304160000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.860740140280294,0.9914824631083583,0.9261113016943261,0.9914824631083583,False,16438,474235,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
3885000,0.00907070244827248,0.7982329977398809,0.00907070244827248,0.031234361540360734,26.636808236808236,25.0,18.159627789333662,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCA_018369055.1 bacterium, ASM1836905v1",b4779b5a5b0cff03107f141f92115838,0.7982329977398809,3885000,7,300275000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8592458614850911,0.9927568509933863,0.9260013562392386,0.9927568509933863,False,103484,577719,3313146,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis lenta
4016000,0.009376561398265709,0.7047280882078116,0.008804535117744022,0.005278366845288436,4.637496685229382,4.0,4.5110859048011385,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCA_015549255.1 Bacteroides caccae strain=1001136B_160425_A12, ASM1554925v1",428d968260725e26c7256d33307310f8,0.7505139226312839,3771000,8,296504000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8601655634359296,0.9907847528378723,0.925475158136901,0.9907847528378723,False,17488,595207,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae
3968000,0.009264490943306359,0.6874411598569008,0.008524358980345644,0.008452389360444726,7.670227334976719,6.0,22.00006818614039,/data/namlhs/aladdin-shotgun/work/9a/451e1299c2d2304749f6e8ac2a93b9/sourmash_database/gtdb-rs214-k31.zip,"GCA_009677945.1 Odoribacter splanchnicus strain=BIOML-A2, ASM967794v1",9d9f0884b712f60a89183757c2e645aa,0.7471286010167577,3651000,9,292853000,ERR1655266_2.fastq.gz,ERR1655266,317de4e5,428302000,31,DNA,1000,428302,True,0.8598319895291557,0.9906402725959315,0.9252361310625437,0.9906402725959315,False,28004,623211,3313146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus
